,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd
706,3,64,26,0.1429,0.122,0.13,0.0641
707,3,64,28,0.1429,0.122,0.13,0.06
708,3,64,30,0.1429,0.122,0.13,0.0564
709,3,64,32,0.1429,0.122,0.13,0.0528
710,3,64,34,0.1429,0.122,0.13,0.0499
711,3,64,36,0.1429,0.122,0.13,0.0481
712,3,64,38,0.1429,0.122,0.13,0.0465
713,3,64,40,0.1429,0.122,0.13,0.0443
714,3,128,0,1.0,0.79,0.808,0.4598
715,3,128,2,0.9571,0.394,0.416,0.2572
716,3,128,4,0.7429,0.148,0.173,0.2346
717,3,128,6,0.55,0.114,0.135,0.1979
718,3,128,8,0.4,0.088,0.113,0.1681
719,3,128,10,0.3429,0.084,0.106,0.1427
720,3,128,12,0.2714,0.082,0.102,0.1238
721,3,128,14,0.25,0.08,0.1,0.1121
722,3,128,16,0.2071,0.076,0.098,0.0982
723,3,128,18,0.2,0.074,0.097,0.0917
724,3,128,20,0.2,0.074,0.097,0.0797
725,3,128,22,0.1929,0.074,0.097,0.0721
726,3,128,24,0.15,0.074,0.091,0.0722
727,3,128,26,0.1429,0.072,0.091,0.0694
728,3,128,28,0.1429,0.072,0.091,0.0639
729,3,128,30,0.15,0.074,0.091,0.0627
730,3,128,32,0.1429,0.072,0.091,0.058
731,3,128,34,0.1429,0.072,0.091,0.0551
732,3,128,36,0.1429,0.072,0.091,0.05
733,3,128,38,0.1429,0.072,0.091,0.049
734,3,128,40,0.1429,0.122,0.13,
735,3,256,0,1.0,0.798,0.81,0.4617
736,3,256,2,0.9786,0.416,0.424,0.2566
737,3,256,4,0.8286,0.26,0.269,0.2353
738,3,256,6,0.6286,0.214,0.215,0.2119
739,3,256,8,0.4786,0.186,0.184,0.1831
740,3,256,10,0.4071,0.178,0.179,0.1531
741,3,256,12,0.3429,0.174,0.174,0.141
742,3,256,14,0.3143,0.174,0.161,0.1323
743,3,256,16,0.2786,0.17,0.159,0.1178
744,3,256,18,0.2071,0.166,0.154,0.1025
745,3,256,20,0.2071,0.164,0.154,0.0936
746,3,256,22,0.2,0.164,0.154,0.0858
747,3,256,24,0.2,0.164,0.154,0.076
748,3,256,26,0.1929,0.164,0.153,0.0723
749,3,256,28,0.1929,0.164,0.153,0.0682
750,3,256,30,0.1429,0.122,0.13,
751,3,256,32,0.1429,0.122,0.13,
752,3,256,34,0.1429,0.122,0.13,
753,3,256,36,0.1429,0.122,0.13,
754,3,256,38,0.1429,0.122,0.13,
755,3,256,40,0.1429,0.122,0.13,
