,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd
304,1,32,20,0.1786,0.072,0.094,0.0648
305,1,32,22,0.1429,0.072,0.091,0.0655
306,1,32,24,0.1429,0.072,0.091,0.0589
307,1,32,26,0.1429,0.072,0.091,0.0544
308,1,32,28,0.1429,0.072,0.091,0.0516
309,1,32,30,0.1429,0.072,0.091,0.0491
310,1,32,32,0.1429,0.072,0.091,0.047
311,1,32,34,0.1429,0.072,0.091,0.0451
312,1,32,36,0.1429,0.072,0.091,0.0434
313,1,32,38,0.1429,0.072,0.091,0.0417
314,1,32,40,0.1429,0.072,0.091,0.0402
315,1,64,0,1.0,0.802,0.807,0.4584
316,1,64,2,0.9214,0.526,0.542,0.2782
317,1,64,4,0.7143,0.378,0.401,0.2491
318,1,64,6,0.4214,0.124,0.127,0.2122
319,1,64,8,0.3286,0.118,0.117,0.1719
320,1,64,10,0.2643,0.118,0.112,0.1404
321,1,64,12,0.2286,0.116,0.111,0.1161
322,1,64,14,0.2143,0.116,0.11,0.1009
323,1,64,16,0.2071,0.116,0.11,0.0866
324,1,64,18,0.2071,0.116,0.11,0.0763
325,1,64,20,0.2,0.116,0.109,0.0724
326,1,64,22,0.1786,0.116,0.106,0.0674
327,1,64,24,0.1786,0.116,0.106,0.0611
328,1,64,26,0.1857,0.116,0.107,0.0569
329,1,64,28,0.1786,0.114,0.105,0.0642
330,1,64,30,0.1429,0.114,0.103,0.0592
331,1,64,32,0.1429,0.114,0.103,0.0518
332,1,64,34,0.1429,0.114,0.103,0.0537
333,1,64,36,0.1429,0.114,0.103,0.0476
334,1,64,38,0.1429,0.114,0.103,0.0457
335,1,64,40,0.1429,0.114,0.103,0.0436
336,1,128,0,1.0,0.796,0.809,0.4583
337,1,128,2,0.9286,0.314,0.34,0.2527
338,1,128,4,0.75,0.182,0.225,0.2263
339,1,128,6,0.5429,0.148,0.177,0.2028
340,1,128,8,0.4357,0.136,0.164,0.1749
341,1,128,10,0.4,0.136,0.16,0.1478
342,1,128,12,0.3,0.132,0.141,0.1402
343,1,128,14,0.2643,0.13,0.141,0.117
344,1,128,16,0.2286,0.128,0.137,0.1041
345,1,128,18,0.2071,0.124,0.137,0.09
346,1,128,20,0.2071,0.124,0.137,0.0829
347,1,128,22,0.2071,0.124,0.137,0.0758
348,1,128,24,0.2,0.124,0.135,0.0728
349,1,128,26,0.1929,0.124,0.134,0.068
350,1,128,28,0.1929,0.124,0.134,0.0633
351,1,128,30,0.1857,0.124,0.133,0.0617
