,seed,model,reg,mu,train_acc,val_acc,test_acc,icd
90,2,gcn,lap_loss,0.0,1.0,0.802,0.807,0.4584
91,2,gcn,lap_loss,0.1,1.0,0.682,0.697,0.338
92,2,gcn,lap_loss,0.2,0.9929,0.658,0.678,0.2906
93,2,gcn,lap_loss,0.3,0.9929,0.658,0.673,0.2622
94,2,gcn,lap_loss,0.4,0.9857,0.666,0.67,0.2413
95,2,gcn,lap_loss,0.5,0.9857,0.658,0.662,0.2268
96,2,gcn,lap_loss,0.6,0.9857,0.64,0.647,0.2152
97,2,gcn,lap_loss,0.7,0.9857,0.646,0.649,0.2063
98,2,gcn,lap_loss,0.8,0.9857,0.65,0.652,0.198
99,2,gat,lap_loss,0.0,0.9929,0.796,0.81,0.4552
100,2,gat,lap_loss,0.1,0.9857,0.77,0.765,0.2267
101,2,gat,lap_loss,0.2,0.9857,0.774,0.769,0.1767
102,2,gat,lap_loss,0.3,0.9714,0.764,0.766,0.15
103,2,gat,lap_loss,0.4,0.9714,0.754,0.764,0.1329
104,2,gat,lap_loss,0.5,0.9714,0.75,0.758,0.1208
105,2,gat,lap_loss,0.6,0.9714,0.746,0.742,0.1112
106,2,gat,lap_loss,0.7,0.9643,0.752,0.741,0.1038
107,2,gat,lap_loss,0.8,0.9643,0.758,0.74,0.0977
108,3,gcn,preg_loss,0.0,1.0,0.802,0.807,0.4584
109,3,gcn,preg_loss,0.1,1.0,0.804,0.818,0.4446
110,3,gcn,preg_loss,0.2,1.0,0.81,0.822,0.4269
111,3,gcn,preg_loss,0.3,1.0,0.818,0.824,0.4064
112,3,gcn,preg_loss,0.4,1.0,0.812,0.832,0.3893
113,3,gcn,preg_loss,0.5,1.0,0.808,0.837,0.3787
114,3,gcn,preg_loss,0.6,1.0,0.806,0.835,0.3646
115,3,gcn,preg_loss,0.7,1.0,0.802,0.836,0.3538
116,3,gcn,preg_loss,0.8,1.0,0.798,0.837,0.343
117,3,gat,preg_loss,0.0,0.9929,0.796,0.81,0.4552
118,3,gat,preg_loss,0.1,0.9929,0.804,0.814,0.4529
119,3,gat,preg_loss,0.2,1.0,0.8,0.822,0.4481
120,3,gat,preg_loss,0.3,1.0,0.814,0.823,0.4449
121,3,gat,preg_loss,0.4,1.0,0.814,0.831,0.4384
122,3,gat,preg_loss,0.5,1.0,0.816,0.837,0.433
123,3,gat,preg_loss,0.6,1.0,0.82,0.838,0.4294
124,3,gat,preg_loss,0.7,0.9714,0.778,0.808,0.4353
125,3,gat,preg_loss,0.8,0.9357,0.67,0.701,0.4341
126,3,gcn,lap_loss,0.0,1.0,0.802,0.807,0.4584
127,3,gcn,lap_loss,0.1,1.0,0.682,0.698,0.338
128,3,gcn,lap_loss,0.2,0.9929,0.658,0.678,0.2906
129,3,gcn,lap_loss,0.3,0.9929,0.658,0.673,0.2622
130,3,gcn,lap_loss,0.4,0.9857,0.662,0.672,0.2414
131,3,gcn,lap_loss,0.5,0.9857,0.658,0.664,0.2267
132,3,gcn,lap_loss,0.6,0.9857,0.642,0.646,0.2156
133,3,gcn,lap_loss,0.7,0.9857,0.648,0.65,0.2063
134,3,gcn,lap_loss,0.8,0.9857,0.65,0.652,0.198
135,3,gat,lap_loss,0.0,0.9929,0.796,0.81,0.4552
136,3,gat,lap_loss,0.1,0.9857,0.77,0.765,0.2267
137,3,gat,lap_loss,0.2,0.9857,0.776,0.771,0.1767
138,3,gat,lap_loss,0.3,0.9714,0.764,0.766,0.15
139,3,gat,lap_loss,0.4,0.9714,0.754,0.764,0.1329
140,3,gat,lap_loss,0.5,0.9714,0.75,0.757,0.1208
141,3,gat,lap_loss,0.6,0.9714,0.744,0.743,0.1112
142,3,gat,lap_loss,0.7,0.9643,0.75,0.739,0.1039
143,3,gat,lap_loss,0.8,0.9643,0.75,0.739,0.0977
