,model,reg,seed,mu,train_acc,val_acc,test_acc
65,mlp,lap_loss,1,1.0,1.0,0.742,0.761
66,gcn,preg_loss,1,0.0,1.0,0.784,0.8
67,gcn,preg_loss,1,0.1,1.0,0.794,0.817
68,gcn,preg_loss,1,0.2,0.9929,0.802,0.822
69,gcn,preg_loss,1,0.3,0.9929,0.802,0.821
70,gcn,preg_loss,1,0.4,0.9929,0.806,0.819
71,gcn,preg_loss,1,0.5,0.9929,0.806,0.821
72,gcn,preg_loss,1,0.6,0.9929,0.802,0.821
73,gcn,preg_loss,1,0.7,0.9929,0.724,0.768
74,gcn,preg_loss,1,0.8,0.9571,0.518,0.521
75,gcn,preg_loss,1,0.9,0.9286,0.466,0.463
76,gcn,preg_loss,1,1.0,0.8929,0.41,0.411
77,mlp,preg_loss,1,0.0,1.0,0.58,0.603
78,mlp,preg_loss,1,0.1,1.0,0.486,0.471
79,mlp,preg_loss,1,0.2,1.0,0.352,0.373
80,mlp,preg_loss,1,0.3,1.0,0.328,0.352
81,mlp,preg_loss,1,0.4,1.0,0.326,0.347
82,mlp,preg_loss,1,0.5,1.0,0.324,0.346
83,mlp,preg_loss,1,0.6,1.0,0.32,0.342
84,mlp,preg_loss,1,0.7,1.0,0.32,0.341
85,mlp,preg_loss,1,0.8,1.0,0.322,0.341
86,mlp,preg_loss,1,0.9,1.0,0.322,0.339
87,mlp,preg_loss,1,1.0,1.0,0.322,0.339
88,gcn,lap_loss,2,0.0,1.0,0.798,0.821
89,gcn,lap_loss,2,0.1,0.9857,0.654,0.674
90,gcn,lap_loss,2,0.2,0.9857,0.598,0.594
91,gcn,lap_loss,2,0.3,0.9857,0.566,0.555
92,gcn,lap_loss,2,0.4,0.9786,0.548,0.539
93,gcn,lap_loss,2,0.5,0.9714,0.544,0.534
94,gcn,lap_loss,2,0.6,0.9714,0.51,0.511
95,gcn,lap_loss,2,0.7,0.9714,0.484,0.492
96,gcn,lap_loss,2,0.8,0.9714,0.48,0.482
97,gcn,lap_loss,2,0.9,0.9714,0.48,0.477
98,gcn,lap_loss,2,1.0,0.9643,0.476,0.476
99,mlp,lap_loss,2,0.0,1.0,0.58,0.602
100,mlp,lap_loss,2,0.1,1.0,0.672,0.686
101,mlp,lap_loss,2,0.2,1.0,0.696,0.698
102,mlp,lap_loss,2,0.3,1.0,0.724,0.736
103,mlp,lap_loss,2,0.4,1.0,0.72,0.74
104,mlp,lap_loss,2,0.5,1.0,0.764,0.776
105,mlp,lap_loss,2,0.6,1.0,0.742,0.759
106,mlp,lap_loss,2,0.7,1.0,0.73,0.752
107,mlp,lap_loss,2,0.8,1.0,0.752,0.783
108,mlp,lap_loss,2,0.9,1.0,0.772,0.79
109,mlp,lap_loss,2,1.0,1.0,0.75,0.776
110,gcn,preg_loss,2,0.0,1.0,0.798,0.821
111,gcn,preg_loss,2,0.1,1.0,0.804,0.822
112,gcn,preg_loss,2,0.2,0.9929,0.808,0.827
113,gcn,preg_loss,2,0.3,0.9929,0.816,0.837
114,gcn,preg_loss,2,0.4,0.9929,0.802,0.839
115,gcn,preg_loss,2,0.5,0.9857,0.806,0.832
116,gcn,preg_loss,2,0.6,0.9857,0.784,0.817
117,gcn,preg_loss,2,0.7,0.9857,0.73,0.756
