,seed,hidden_channels,mu,train_acc,val_acc,test_acc
139,1,16,0.7,0.9929,0.724,0.768
140,1,16,0.8,0.9571,0.518,0.521
141,1,16,0.9,0.9286,0.466,0.463
142,1,16,1.0,0.8929,0.41,0.411
143,1,32,0.0,1.0,0.788,0.805
144,1,32,0.1,1.0,0.796,0.819
145,1,32,0.2,1.0,0.812,0.82
146,1,32,0.3,1.0,0.818,0.828
147,1,32,0.4,1.0,0.812,0.831
148,1,32,0.5,1.0,0.808,0.834
149,1,32,0.6,1.0,0.804,0.828
150,1,32,0.7,1.0,0.806,0.827
151,1,32,0.8,0.9786,0.764,0.765
152,1,32,0.9,0.9857,0.706,0.702
153,1,32,1.0,0.9857,0.72,0.72
154,1,64,0.0,1.0,0.802,0.807
155,1,64,0.1,1.0,0.804,0.818
156,1,64,0.2,1.0,0.81,0.822
157,1,64,0.3,1.0,0.818,0.824
158,1,64,0.4,1.0,0.812,0.832
159,1,64,0.5,1.0,0.808,0.837
160,1,64,0.6,1.0,0.806,0.835
161,1,64,0.7,1.0,0.802,0.836
162,1,64,0.8,1.0,0.798,0.837
163,1,64,0.9,1.0,0.802,0.835
164,1,64,1.0,1.0,0.798,0.826
165,1,128,0.0,1.0,0.796,0.809
166,1,128,0.1,1.0,0.802,0.816
167,1,128,0.2,1.0,0.812,0.82
168,1,128,0.3,1.0,0.816,0.827
169,1,128,0.4,1.0,0.812,0.826
170,1,128,0.5,1.0,0.802,0.828
171,1,128,0.6,0.9929,0.8,0.831
172,1,128,0.7,0.9929,0.792,0.824
173,1,128,0.8,0.9929,0.796,0.828
174,1,128,0.9,0.9929,0.796,0.826
175,1,128,1.0,0.9929,0.798,0.827
176,2,1,0.0,0.2857,0.218,0.206
177,2,1,0.1,0.3,0.216,0.214
178,2,1,0.2,0.2929,0.226,0.22
179,2,1,0.3,0.2857,0.222,0.218
180,2,1,0.4,0.2857,0.214,0.212
181,2,1,0.5,0.2643,0.208,0.211
182,2,1,0.6,0.2643,0.206,0.216
183,2,1,0.7,0.2429,0.214,0.198
184,2,1,0.8,0.1857,0.162,0.15
185,2,1,0.9,0.1643,0.16,0.146
186,2,1,1.0,0.1643,0.124,0.132
187,2,2,0.0,0.7214,0.564,0.528
188,2,2,0.1,0.7286,0.54,0.516
189,2,2,0.2,0.7214,0.522,0.498
190,2,2,0.3,0.7214,0.494,0.479
191,2,2,0.4,0.7,0.48,0.457
192,2,2,0.5,0.6857,0.444,0.438
193,2,2,0.6,0.6429,0.396,0.402
194,2,2,0.7,0.3714,0.188,0.203
195,2,2,0.8,0.3786,0.224,0.22
196,2,2,0.9,0.3214,0.2,0.191
197,2,2,1.0,0.2786,0.188,0.17
198,2,4,0.0,0.9714,0.628,0.664
199,2,4,0.1,0.9571,0.628,0.643
200,2,4,0.2,0.9286,0.602,0.615
201,2,4,0.3,0.8786,0.582,0.583
202,2,4,0.4,0.8429,0.55,0.565
203,2,4,0.5,0.8143,0.542,0.538
204,2,4,0.6,0.8,0.514,0.496
205,2,4,0.7,0.7357,0.48,0.457
206,2,4,0.8,0.7214,0.41,0.377
207,2,4,0.9,0.5857,0.438,0.437
208,2,4,1.0,0.5,0.4,0.397
209,2,8,0.0,0.9857,0.786,0.798
210,2,8,0.1,0.9857,0.794,0.797
211,2,8,0.2,0.9786,0.784,0.794
212,2,8,0.3,0.9571,0.778,0.795
213,2,8,0.4,0.95,0.778,0.786
214,2,8,0.5,0.9214,0.77,0.768
215,2,8,0.6,0.9286,0.742,0.746
216,2,8,0.7,0.9071,0.704,0.702
217,2,8,0.8,0.8643,0.45,0.454
218,2,8,0.9,0.6714,0.242,0.273
219,2,8,1.0,0.5429,0.21,0.237
220,2,16,0.0,1.0,0.798,0.821
221,2,16,0.1,1.0,0.804,0.822
222,2,16,0.2,0.9929,0.808,0.827
223,2,16,0.3,0.9929,0.816,0.837
224,2,16,0.4,0.9929,0.802,0.839
225,2,16,0.5,0.9857,0.806,0.832
226,2,16,0.6,0.9857,0.784,0.817
227,2,16,0.7,0.9857,0.73,0.756
228,2,16,0.8,0.9786,0.664,0.678
229,2,16,0.9,0.9286,0.6,0.594
230,2,16,1.0,0.9214,0.554,0.556
231,2,32,0.0,1.0,0.784,0.807
232,2,32,0.1,1.0,0.794,0.822
233,2,32,0.2,1.0,0.794,0.824
234,2,32,0.3,1.0,0.8,0.823
235,2,32,0.4,1.0,0.808,0.828
236,2,32,0.5,1.0,0.808,0.835
237,2,32,0.6,1.0,0.808,0.837
238,2,32,0.7,1.0,0.804,0.836
239,2,32,0.8,0.9857,0.764,0.787
240,2,32,0.9,0.9857,0.716,0.729
241,2,32,1.0,0.9714,0.702,0.702
242,2,64,0.0,1.0,0.788,0.814
243,2,64,0.1,1.0,0.794,0.823
244,2,64,0.2,1.0,0.808,0.83
245,2,64,0.3,1.0,0.81,0.836
246,2,64,0.4,1.0,0.794,0.837
247,2,64,0.5,1.0,0.794,0.837
248,2,64,0.6,1.0,0.796,0.836
249,2,64,0.7,0.9929,0.798,0.835
250,2,64,0.8,0.9929,0.796,0.835
251,2,64,0.9,0.9857,0.732,0.744
252,2,64,1.0,0.9857,0.716,0.733
253,2,128,0.0,1.0,0.79,0.811
254,2,128,0.1,1.0,0.804,0.818
255,2,128,0.2,1.0,0.81,0.826
256,2,128,0.3,1.0,0.818,0.83
257,2,128,0.4,1.0,0.812,0.831
258,2,128,0.5,1.0,0.812,0.833
259,2,128,0.6,1.0,0.804,0.832
260,2,128,0.7,1.0,0.794,0.825
261,2,128,0.8,1.0,0.8,0.83
262,2,128,0.9,1.0,0.8,0.829
263,2,128,1.0,1.0,0.792,0.815
264,3,1,0.0,0.3429,0.174,0.213
265,3,1,0.1,0.3357,0.174,0.227
266,3,1,0.2,0.3286,0.18,0.208
267,3,1,0.3,0.3286,0.186,0.214
268,3,1,0.4,0.3214,0.194,0.201
269,3,1,0.5,0.3143,0.192,0.199
270,3,1,0.6,0.3214,0.168,0.173
271,3,1,0.7,0.3071,0.164,0.164
272,3,1,0.8,0.3071,0.236,0.233
273,3,1,0.9,0.1786,0.156,0.149
274,3,1,1.0,0.1643,0.156,0.147
275,3,2,0.0,0.6357,0.52,0.524
276,3,2,0.1,0.6143,0.52,0.529
277,3,2,0.2,0.5571,0.534,0.553
278,3,2,0.3,0.5643,0.544,0.564
279,3,2,0.4,0.5714,0.542,0.556
280,3,2,0.5,0.5571,0.528,0.544
281,3,2,0.6,0.45,0.426,0.463
282,3,2,0.7,0.3,0.382,0.383
283,3,2,0.8,0.2929,0.368,0.359
284,3,2,0.9,0.2643,0.352,0.352
285,3,2,1.0,0.2571,0.082,0.082
286,3,4,0.0,0.9857,0.754,0.766
287,3,4,0.1,0.9857,0.756,0.777
288,3,4,0.2,0.9857,0.764,0.785
289,3,4,0.3,0.9714,0.772,0.785
290,3,4,0.4,0.9714,0.764,0.777
291,3,4,0.5,0.9714,0.754,0.775
292,3,4,0.6,0.9429,0.748,0.764
293,3,4,0.7,0.8857,0.688,0.688
294,3,4,0.8,0.6857,0.328,0.335
295,3,4,0.9,0.4929,0.192,0.194
296,3,4,1.0,0.4286,0.18,0.179
297,3,8,0.0,0.9857,0.78,0.787
298,3,8,0.1,0.9857,0.792,0.793
299,3,8,0.2,0.9857,0.786,0.791
300,3,8,0.3,0.9857,0.792,0.798
301,3,8,0.4,0.9857,0.79,0.799
302,3,8,0.5,0.9857,0.8,0.8
303,3,8,0.6,0.9857,0.792,0.8
304,3,8,0.7,0.9357,0.486,0.509
305,3,8,0.8,0.9643,0.532,0.555
306,3,8,0.9,0.7571,0.33,0.346
307,3,8,1.0,0.6714,0.302,0.308
308,3,16,0.0,1.0,0.79,0.812
309,3,16,0.1,1.0,0.802,0.818
310,3,16,0.2,1.0,0.814,0.823
311,3,16,0.3,1.0,0.818,0.829
312,3,16,0.4,0.9857,0.816,0.831
313,3,16,0.5,0.9857,0.81,0.834
314,3,16,0.6,0.9786,0.798,0.82
315,3,16,0.7,0.9786,0.778,0.798
316,3,16,0.8,0.9714,0.748,0.754
317,3,16,0.9,0.9357,0.66,0.655
318,3,16,1.0,0.9357,0.682,0.687
319,3,32,0.0,1.0,0.792,0.81
320,3,32,0.1,1.0,0.796,0.82
321,3,32,0.2,1.0,0.796,0.819
322,3,32,0.3,1.0,0.808,0.831
323,3,32,0.4,1.0,0.812,0.834
324,3,32,0.5,1.0,0.798,0.838
325,3,32,0.6,0.9929,0.804,0.83
326,3,32,0.7,0.9929,0.798,0.825
327,3,32,0.8,0.9929,0.796,0.822
328,3,32,0.9,0.9929,0.796,0.824
329,3,32,1.0,1.0,0.696,0.749
330,3,64,0.0,1.0,0.8,0.82
331,3,64,0.1,1.0,0.8,0.824
332,3,64,0.2,1.0,0.812,0.824
333,3,64,0.3,1.0,0.828,0.83
334,3,64,0.4,1.0,0.814,0.836
335,3,64,0.5,1.0,0.802,0.838
336,3,64,0.6,1.0,0.802,0.836
337,3,64,0.7,1.0,0.796,0.836
338,3,64,0.8,1.0,0.796,0.834
339,3,64,0.9,1.0,0.806,0.827
340,3,64,1.0,1.0,0.804,0.833
341,3,128,0.0,1.0,0.79,0.808
342,3,128,0.1,1.0,0.804,0.817
343,3,128,0.2,1.0,0.812,0.824
344,3,128,0.3,1.0,0.82,0.829
345,3,128,0.4,1.0,0.818,0.83
346,3,128,0.5,1.0,0.814,0.833
347,3,128,0.6,1.0,0.806,0.835
348,3,128,0.7,1.0,0.802,0.83
349,3,128,0.8,1.0,0.798,0.831
350,3,128,0.9,1.0,0.804,0.837
351,3,128,1.0,1.0,0.806,0.827
352,4,1,0.0,0.4429,0.296,0.286
353,4,1,0.1,0.4286,0.282,0.295
354,4,1,0.2,0.4143,0.266,0.284
355,4,1,0.3,0.4214,0.248,0.286
356,4,1,0.4,0.4071,0.248,0.265
357,4,1,0.5,0.3714,0.234,0.254
358,4,1,0.6,0.3786,0.218,0.243
359,4,1,0.7,0.3357,0.222,0.221
360,4,1,0.8,0.2214,0.126,0.144
